CPINGsample#,Species,Collector ,Locallity,Country,County,State,Date_Collection,Date_Extracted,Initials,LAT,LONG,Extracted,DNA_Con_ng/ul,
89,T. repens,KF McCabe 83024,Whetstone Creek South Fork,USA,Gregory ,South Dakota,6/19/1983,12/20/2020,NK,,,,8.66,
90,T. repens,A Ruth  592,,USA,Tamarack,South Dakota,5/12/2021,12/20/2020,NK,,,,8.85,
91,T. repens,TA Williams 5312,,USA,Brookings,South Dakota,9/12/1891,12/20/2020,NK,,,,3.07,
92,T. repens,EJ Bush,,USA,Brookings ,South Dakota,6/15/2010,12/20/2020,NK,,,,11.6,
93,T. repens,CA Taylor 2553,N. of cresent stadium Cornell Uni Ithaca,USA,Tompkins,South Dakota,11/4/1935,12/20/2020,NK,,,,3.54,
94,T. repens,S. Krentz s.n.,1500 E Capitol Bismarck ,USA,Burleigh,South Dakota,6/18/1993,12/20/2020,NK,,,,2.73,
95,T. repens,R. Schubert s.n.,,USA,Lac Qui Parle ,Minisota,7/25/2014,12/20/2020,NK,,,,16.3,
96,T. repens,M Dixon 84,"T1N, R3W Sec.8 ",USA,Canyon ,Idaho,8/10/1990,12/20/2020,NK,,,,7.98,
97,T. repens,Gray ,,USA,Fargo,North Dakota,6/24/1891,12/20/2020,NK,,,,12.7,
98,T. repens,RP Williams 3168,S Shore of Lake Etta  3 mi S of Dawson,USA,Kidder,North Dakota,8/30/1975,12/20/2020,NK,,,,5.6,
99,T. repens,E.S  Dekeyser 258,Close to NG Shore of Lake Coe NE 1/4 sec,USA,Edda ,North Dakota,6/21/1993,12/20/2020,NK,,,,26.1,
100,T. repens,M. Murdoff 37,1901 7th Ave,USA,Fargo ,North Dakota,6/12/2005,12/20/2020,NK,,,,18.7,
101,T. repens,M Rohde,NDSU campus ,USA,Fago ,North Dakota,6/17/1978,12/20/2020,NK,,,,3.48,
102,T. repens,HF Bergman ,,USA,Abercombie ,North Dakota,6/25/2012,12/20/2020,NK,,,,2.31,
103,T. repens,C. Godfread 583,Buffalo park Jamestown ,USA,Stutsman ,North Dakota,6/12/1971,12/20/2020,NK,,,,17.9,
105,T. repens,Hanawalt,,USA,Franklin ,Ohio,6/8/2011,12/20/2020,NK,,,,12.3,
106,T. repens,Sanford,Toledo,USA,Lucas,Ohio,6/1/1877,12/20/2020,NK,,,,7.84,
107,T. repens,Burylchans,Toledo,USA,Lucas,Ohio,6/23/2001,12/20/2020,NK,,,,11.3,
108,T. repens,Jones ,Salem TWP,USA,Meigs,Ohio,6/30/1935,12/20/2020,NK,,,,25.7,
109,T. repens,Herrick,,USA,Pickaway,Ohio,7/7/1960,12/20/2020,NK,,,,0.384,
110,T. repens,Darling,Westerville,USA,Franklin ,Ohio,5/31/2022,12/20/2020,NK,,,,TL,
111,T. repens,Moser,,USA,Franklin ,Ohio,6/24/1968,12/20/2020,NK,,,,31.2,1
112,T. repens,Deoot,OSU farm,USA,Franklin ,Ohio,6/6/1882,12/20/2020,NK,,,,22.6,
113,T. repens,Boone 130,,USA,Franklin ,Ohio,5/9/1970,12/20/2020,NK,,,,5.13,
114,T. repens,Jennings CM 1905,Presque Isle,USA,Eric,Pennsylvania,6/11/2005,12/20/2020,NK,,,,33.6,
115,T. repens,Miller CM 1879,,USA,Erie ,Pennsylvania,5/25/1879,12/20/2020,NK,,,,3.4,
116,T. repens,Jennings CM 1905,,USA,Cameron ,Pennsylvania,7/19/2004,12/20/2020,NK,,,,23.9,
117,T. repens,Wilson ,,USA,Butler ,Pennsylvania,7/11/2010,12/20/2020,NK,,,,20.5,
118,T. repens,Graham,,USA,Butler ,Pennsylvania,8/24/2022,12/20/2020,NK,,,,8.2,
119,T. repens,Schiller & Graham,,USA,Beaver,Pennsylvania,8/3/2024,12/20/2020,NK,,,,32.9,
120,T. repens,Millward ,,USA,Allegheny,Pennsylvania,7/17/2019,12/20/2020,NK,,,,28.4,
121,T. repens,Shafer,,USA,Allegheny,Pennsylvania,9/1/1883,12/20/2020,NK,,,,11.9,
122,T. repens,Shafer,,USA,Allegheny,Pennsylvania,5/26/1889,12/20/2020,NK,,,,24,
123,T. repens,Shafer,,USA,Allegheny,Pennsylvania,05/01/1884,12/20/2020,NK,,,,4.94,
124,T. repens,Agustini,,USA,Allegheny,Pennsylvania,10/1/1933,12/20/2020,NK,,,,2.63,
125,T. repens,Archer,"Washo Co.; Hunter's Creek Rd., 8-9 mi SW of Reno",USA,NTF,Nevada,7/14/1938,12/20/2020,NK,,,,28.5,
126,T. repens,Evert,Carbon Co.; Yellowstone River at mouth of Wolf Canyon ca. 14 mi WSW of Laurel,USA,NTF,Montana,6/2/1998,12/20/2020,NK,,,,9.05,
127,T. repens,Goodrum,Greene Co.; Leaf,USA,NTF,Mississippi,4/6/1946,12/20/2020,NK,,,,15.5,
128,T. repens,Elliott,"Costilla Co.; Wet Mt. Valley; Forbes Trinchera Ranch, Big Ute Creek.",USA,NTF,Colorado,8/12/1999,12/20/2020,NK,,,,19.3,
129,T. repens,Thomas,Camp Evers,USA,NTF,California,6/14/1953,12/20/2020,NK,,,,25.5,
130,T. repens,McNabb,Faulkner Co.; Greenbriar,USA,NTF,Arkansas,4/19/1969,12/20/2020,NK,,,,25.8,
131,T. repens,Taylor,"Tanana River, NE of Delta Junction",USA,NTF,Alaska,7/18/1965,12/20/2020,NK,,,,21.9,
132,T. repens,Barnes,Lee Co.; 2 mi S of Auburn,USA,NTF,Alabama,4/6/1969,12/20/2020,NK,,,,31.9,
133,T. repens,Orr,Harrison Co.; Caddo Lake State Park,USA,NTF,Texas,5/8/1948,12/20/2020,NK,,,,20.6,
134,T. repens,Traverse,"Harris Co.; Houston, Grammercy St.",USA,NTF,Texas,3/22/1960,12/20/2020,NK,,,,15.4,
135,T. repens,Cory,Hardin Co.; 2.5 mi W of Silsbee,USA,NTF,Texas,4/9/1947,12/20/2020,NK,,,,21.9,
136,T. repens,Lodwick,Fort Bend Co.; Hale Ranch State Park,USA,NTF,Texas,3/21/1977,12/20/2020,NK,,,,31.9,
137,T. repens,Walker,"Collin Co.; Plano, Sigler Elementary School",USA,NTF,Texas,4/23/1974,12/20/2020,NK,,,,35.1,
